conf,P,R,F1
0.00142,0.13215728201473034,0.9877474917872681,0.23312343492974863
0.00141,0.13177532455226001,0.9877474917872681,0.2325289746778559
0.0014,0.13139556857372325,0.9877474917872681,0.2319375384390864
0.00139,0.13101799510081025,0.9877474917872681,0.23134910319729657
0.00138,0.1306425853727277,0.9877474917872681,0.2307636461693235
0.00137,0.13026932084309134,0.9877474917872681,0.23018114480204427
0.00136,0.12992153565924058,0.9879250643700612,0.22964285345743857
0.00135,0.12955244038748137,0.9879250643700612,0.22906609298926414
0.00134,0.12919704639390703,0.9880138506614579,0.22851275732840495
0.00133,0.12884366027600258,0.9881026369528545,0.22796218724075418
0.00132,0.12849226506580466,0.9881914232442511,0.22741436204448168
0.00131,0.12813133173696814,0.9881914232442511,0.22684887951328378
0.0013,0.12777242044358728,0.9881914232442511,0.22628620223439835
0.0013,0.12742696217602345,0.9882802095356477,0.2257465902753131
0.00129,0.12707201242065846,0.9882802095356477,0.22518941118158184
0.00128,0.12674180327868853,0.9884577821184409,0.22467533777988555
0.00127,0.1264020707506471,0.9885465684098376,0.22414365808731013
0.00126,0.12605289375962322,0.9885465684098376,0.2235945015111807
0.00125,0.12570564060877026,0.9885465684098376,0.22304802924825964
0.00124,0.12537155467483335,0.9886353547012341,0.22252420587735688
0.00124,0.12502807096339547,0.9886353547012341,0.22198299492638776
0.00123,0.12468646421212935,0.9886353547012341,0.2214444101941989
0.00122,0.12434671907803636,0.9886353547012341,0.2209084326115206
0.00121,0.12400882038488953,0.9886353547012341,0.2203750432932562
0.00121,0.12367275312097384,0.9886353547012341,0.21984422353626396
0.0012,0.12333850243686309,0.9886353547012341,0.21931595481717103
0.00119,0.12300605364323274,0.9886353547012341,0.2187902187902188
0.00118,0.12268640930724485,0.9887241409926307,0.21828659917084023
0.00118,0.12235749131982596,0.9887241409926307,0.2177658274260572
0.00117,0.12204129043569738,0.9888129272840274,0.2172670431822394
0.00116,0.12172677595628416,0.988901713575424,0.21677062756050328
0.00115,0.12140303453086851,0.988901713575424,0.21625714757249512
0.00115,0.12109188154976736,0.9889904998668205,0.2157654647412616
0.00114,0.12080405932864949,0.9892568587410104,0.21531474950480697
0.00113,0.12048531510878498,0.9892568587410104,0.2148083170263835
0.00112,0.12016824849007765,0.9892568587410104,0.21430426127347738
0.00112,0.11986360311518438,0.989345645032407,0.21382175443982848
0.00111,0.11954982404943781,0.989345645032407,0.21332235740061833
0.0011,0.11923768351667166,0.989345645032407,0.21282528768562287
0.0011,0.11892716871584699,0.989345645032407,0.21233052906372962
0.00109,0.11861826697892272,0.989345645032407,0.2118380654544072
0.00108,0.11832158328378493,0.9894344313238036,0.21136684780031675
0.00108,0.11801584275850384,0.9894344313238036,0.2108788827809369
0.00107,0.11771167821531181,0.9894344313238036,0.21039316562042762
0.00106,0.1174196131316111,0.9895232176152002,0.20992851693837764
0.00106,0.11711853720050441,0.9895232176152002,0.20944720596111746
0.00105,0.11681900129973587,0.9895232176152002,0.20896809697469695
0.00104,0.11653144864503179,0.9896120039065969,0.20850988205142595
0.00104,0.11623493096400117,0.9896120039065969,0.2080350893565396
0.00103,0.11593991844886412,0.9896120039065969,0.2075624540265738
0.00102,0.1156463996679809,0.9896120039065969,0.20709196139089395
0.00102,0.11535436330518298,0.9896120039065969,0.20662359691158344
0.00101,0.11506379815831853,0.9896120039065969,0.20615734618194595
0.00101,0.11477469313782025,0.9896120039065969,0.20569319492502883
0.001,0.11448703726529438,0.9896120039065969,0.20523112899216528
